date,window,product,regime,signal,level_z,entry_price,exit_price,exit_reason,bars_held,stop_dist,atr14,be_triggered,pnl_gross,pnl_net
2025-06-10,test,CL,Backwardation-Deficit,SELL,2.421,1.094,1.4264,stop_loss,3,0.3324,0.133,FALSE,-0.3324,-0.3724
2025-06-11,test,CL,Deep-Backwardation,SELL,3.207,1.2891,1.6462,stop_loss,2,0.3571,0.1428,FALSE,-0.3571,-0.3971
2025-06-12,test,CL,Deep-Backwardation,SELL,3.541,1.3635,1.7219,stop_loss,1,0.3584,0.1434,FALSE,-0.3584,-0.3984
2025-06-13,test,CL,Deep-Backwardation,SELL,5.089,1.7388,1.7388,trailing_stop,5,0.4075,0.163,TRUE,0,-0.04
2025-06-14,test,CL,Deep-Backwardation,SELL,5.321,1.761,1.761,trailing_stop,4,0.3592,0.1437,TRUE,0,-0.04
2025-06-16,test,CL,Deep-Backwardation,SELL,4.235,1.4575,1.7947,stop_loss,3,0.3372,0.1349,FALSE,-0.3372,-0.3772
2025-06-17,test,CL,Deep-Backwardation,SELL,5.18,1.662,1.9527,stop_loss,2,0.2907,0.1163,FALSE,-0.2907,-0.3307
2025-06-18,test,CL,Deep-Backwardation,SELL,5.297,1.6711,1.951,stop_loss,1,0.2799,0.1119,FALSE,-0.2799,-0.3199
2025-06-19,test,CL,Deep-Backwardation,SELL,8.524,2.39,1.2662,time_exit,21,0.4038,0.1615,TRUE,1.1238,1.0838
2025-06-20,test,CL,Deep-Backwardation,SELL,4.332,1.4233,1.3121,time_exit,21,0.5706,0.2282,FALSE,0.1112,0.0712
2025-06-23,test,CL,Deep-Backwardation,SELL,3.503,1.2312,1.2917,time_exit,21,0.595,0.238,FALSE,-0.0605,-0.1005
2025-06-24,test,CL,Deep-Backwardation,SELL,3.474,1.2238,1.4417,time_exit,21,0.584,0.2336,FALSE,-0.2179,-0.2579
2025-06-25,test,CL,Deep-Backwardation,SELL,4.677,1.4978,1.2721,time_exit,21,0.6329,0.2532,TRUE,0.2257,0.1857
2025-06-26,test,CL,Deep-Backwardation,SELL,4.34,1.4228,1.0598,time_exit,21,0.6123,0.2449,TRUE,0.363,0.323
2025-06-27,test,CL,Deep-Backwardation,SELL,4.355,1.4256,0.7958,time_exit,21,0.6109,0.2444,TRUE,0.6298,0.5898
2025-06-28,test,CL,Deep-Backwardation,SELL,4.321,1.42,0.916,time_exit,21,0.5771,0.2308,TRUE,0.504,0.464
2025-06-30,test,CL,Deep-Backwardation,SELL,3.506,1.2387,0.8322,time_exit,21,0.5961,0.2385,TRUE,0.4066,0.3666
2025-07-01,test,CL,Deep-Backwardation,SELL,3.863,1.3235,0.7806,time_exit,21,0.5443,0.2177,TRUE,0.5429,0.5029
2025-07-02,test,CL,Deep-Backwardation,SELL,4.297,1.4412,0.8343,time_exit,21,0.5613,0.2245,TRUE,0.6069,0.5669
2025-07-03,test,CL,Deep-Backwardation,SELL,4.198,1.4175,0.9354,time_exit,21,0.5114,0.2045,TRUE,0.4821,0.4421
2025-07-04,test,CL,Deep-Backwardation,SELL,3.28,1.205,1.1702,time_exit,21,0.5128,0.2051,TRUE,0.0348,-0.0052
2025-07-07,test,CL,Deep-Backwardation,SELL,4.397,1.4633,1.063,time_exit,21,0.5573,0.2229,TRUE,0.4003,0.3603
2025-07-08,test,CL,Deep-Backwardation,SELL,3.877,1.3446,1.1818,time_exit,21,0.4501,0.18,TRUE,0.1627,0.1227
2025-07-09,test,CL,Deep-Backwardation,SELL,4.085,1.393,1.393,trailing_stop,9,0.2861,0.1145,TRUE,0,-0.04
2025-07-10,test,CL,Deep-Backwardation,SELL,3.505,1.2574,1.0566,trailing_stop,17,0.2761,0.1104,TRUE,0.2008,0.1608
2025-07-11,test,CL,Deep-Backwardation,SELL,4.101,1.3937,1.3937,trailing_stop,7,0.2991,0.1196,TRUE,0,-0.04
2025-07-12,test,CL,Deep-Backwardation,SELL,4.143,1.401,1.401,trailing_stop,6,0.2514,0.1006,TRUE,0,-0.04
2025-07-14,test,CL,Deep-Backwardation,SELL,3.159,1.1734,1.0592,trailing_stop,14,0.2787,0.1115,TRUE,0.1141,0.0741
2025-07-15,test,CL,Deep-Backwardation,SELL,3.166,1.1744,1.0589,trailing_stop,13,0.2784,0.1113,TRUE,0.1155,0.0755
